,Texto,Discurso de ódio
0,me covid-19 vezes pra beijar sua boca,0
1,Imagina a cara de c* que a família tradicional brasileira vai fazer se a cura da Covid-19 estivesse na maconha...,0
2,"O que separa as pessoas? 

COVID-19, mal entendido, orgulho...",0
3,"Primeiro caso COVID-19 confirmado em Ribeirão das Neves, já chegamos a 783 casos em investigação!",0
4,"ACABOU COVID 19 NA CHINA 

PRESIDENTE CHINES ENCERRA

ISOLAMENTEOS E PREVENÇÓES

VEJA O VIDEO FANTASTICO",0
5,Jovem de 20 anos da etnia kokama recebe teste positivo para covid-19 no Amazonas. Ela e outros indígenas já estavam sendo monitorados após contato com médico infectado. Duas aldeias inteiras no estado entram em isolamento.,0
6,"O Brasil tem 5. 570 (Cinco Mil, Quinhentos e Setenta) Municípios. Sabe quantos foram atingidos pelo COVID-19? 362 (Trezentos e Sessenta e Dois). Isso mesmo. Ou melhor: Isso a Extrema-Mídia não mostra. 
Sem falar, é claro, na #GloboLixo",0
7,"To tao triste por causa do COVID-19, Saida do Prior, sem futebol faz 1 mes que nao tive nem pique pra brincar nesse primeiro de abril",0
8,"Dois óbitos na Praia Grande por COVID-19. 

 Tá chegando gente.

Mas vamo sim continuar fazendo resenha, vamo sim acender esse nargas e chamar os amigos. 

FICA EM CASA CARAMBA",0
9,"Pra quem acha que a situação do Coronavírus é só uma gripe, fui num hospital hoje, tinha recém chegado uns 3 ou 4 contêineres refrigerados. Perguntei pro meu amigo que trabalha lá para o que servia, ele disse que era para mortos do COVID-19. Em um único hospital. Pesado.",0
10,Os dois testes (com metodologias e dias diferentes) para o COVID-19 tem o mesmo resultado: NEGATIVO.,0
11,"- O Governo Federal anuncia o início da distribuição de testes rápidos para o covid-19. O primeiro lote de 500.000 unidades já foi direcionado para todo país, de acordo com os números do vírus. 
@minsaude
 @DefesaGovBr
 @exercitooficial
 @marmilbr
 @fab_oficial",0
12,Exclusivo CNN : E-mails mostram ordem para subnotificar COVID-19 em 37 postos de saúde de SP,0
13,"Bruno Covas e João Doria devem explicações a respeito dessa notícia preocupante, que indica a existência de orientações oficiais para a subnotificação de casos de covid-19 em São Paulo. Precisamos urgentemente de mais testes e de transparência nos dados.",0
14,Lávate las manos!!!! #Covid_19 #valdiviacl #elranco,0
15,"URGENTE: Covid-19 é um plano do PT em parceria com a China, com financiamento da Lei Rouanet, Leonardo DiCaprio e Gerge Soros para instaurar o comunismo no Brasil.",0
16,Profissionais de saúde do Antônio Pedro já podem fazer teste rápido para a Covid-19. Os trabalhadores que apresentam sintomas da doença chegam de carro e fazem o exame na porta lateral da unidade. #Coronavírus #BandNewsFM,0
17,Mandetta teria sido excluído de reunião com médicos no Planalto para falar da Covid-19,0
18,"Absurdo! 
@cnnbrasil
 divulga que pelo menos 37 postos de saúde de São Paulo foram orientadas a subnotificar casos de coronavírus. Tomaremos providências para jogar luz nessa situação. #Covid_19 #quarentena #subnotificação",0
19,"Muitas dúvidas permanecem entre serviços que podem ou não funcionar durante a quarentena. Aqui, listo todos eles. Entre os serviços que permanecem em funcionamento, cabe reforçar a necessidade de adotar medidas protetivas p/ a saúde dos trabalhadores e conter o avanço da Covid-19",0
20,"Bolsonaro debocha de sintoma das vítimas do covid-19 e diz que vírus é igual chuva: ""pode molhar ou afogar""",0
21,Prefeitura anuncia testes rápidos de Covid-19 nas ruas de Salvador,0
22,#Coronavírus: Brasil confirma 1º caso de covid-19 em indígena da Amazônia,0
23,"PELA VIDA | Sem equipamentos de proteção contra o coronavírus, agentes de sepultamento de SP podem parar.

#COVID_19",0
24,Boulos sobre subnotificação da COVID-19: “Isso engana a população sobre a dimensão da pandemia”,0
25,"Visão aérea do Cemitério da Vila Formosa durante enterro em meio a pandemia do #coronavirus. Os cemitérios públicos de SP estão recebendo diariamente de 30 a 40 corpos de pessoas que morreram com suspeita de contaminação da COVID-19. Foto do Miguel Schincariol/
@GettyImages
.",0
26,"""Bolsonaro ir até o povão, na rua, em plena pandemia coronavírus é um exemplo d CORAGEM.""

Em qual mundo? Só se for no da fantasia.
No mundo da epidemiologia e do Covid-19, é exemplo d IRRESPONSABILIDADE, IGNORÂNCIA e o contrário de coragem, FRAQUEZA. 
É ""jogar pra torcida.""",0
27,"CASOS DE COVID-19 / REGIÃO LEOPOLDINENSE 

Inhaúma - 3 
Manguinhos - 3 
Benfica - 2 
Olaria - 2 
Penha - 2
São Cristóvão - 2
Bonsucesso - 1 
Caju - 1
Complexo do Alemão - 1
Ramos - 1",0
28,"Instagram avisa que Regina Duarte publicou notícia parcialmente falsa; post da secretária especial de Cultura é sobre hidroxicloroquina no tratamento da Covid-19 (via 
@monicabergamo
)",0
29,"Não é só 
@jairbolsonaro
. Desembargador do 
@TJSPoficial
 também debocha das vítimas do Covid-19",0
30,"Tedros Adhanom Ghebreyesus, diretor da OMS, em entrevista, afirmou que o isolamento social é a principal medida de combate à pandemia da covid-19 e que a precaução é a única opção que temos para derrotar esse vírus. ""É vital respeitar a dignidade do próximo.",0
31,"Papa alerta para genocídio se economia for prioridade contra a Covid-19 https://claudia.abril.com.br/noticias/papa-alerta-para-genocidio-se-economia-for-prioridade-contra-a-covid-19/… via 
@claudiaonline",0
32,"Dados sugerem desaceleração da Covid-19 no Brasil, mas falta de testes eleva incerteza da avaliação https://oglobo.globo.com/sociedade/coronavirus/dados-sugerem-desaceleracao-da-covid-19-no-brasil-mas-falta-de-testes-eleva-incerteza-da-avaliacao-24344661?utm_source=Twitter&utm_medium=Social&utm_campaign=O%20Globo…",0
33,"Poder, igualdade, nacionalismo: como a pandemia remodelará o mundo. A Covid-19 intensificou a rivalidade entre os EUA e a China - mas também fortaleceu a cooperação internacional. As nações serão mais unidas ou mais divididas, mais - ou menos - livres? https://bit.ly/2UyiMlF",0
34,"Há quem, no governo, ainda hoje, aposte em um n° de mortos por volta de 5000. Assim, a narrativa dando conta que a mortalidade via covid-19 estaria na linha ou até baixo de outras causas prevaleceria.",0
35,"Sen. Izalci Lucas (PSDB/DF), vote para que o dinheiro do Fundo Eleitoral seja usado para combater o novo coronavírus (COVID-19) 
@izalcilucas
 @vemprarua_br
 https://fundoparasaude.com.br/df/senador-izalci-lucas.html?2… #FundoEleitoralParaCoronavirus",0
36,Coronavírus: postos de SP recebem ordem para subnotificar COVID-19 https://jornalggn.com.br/coronavirus/coronavirus-postos-de-sp-recebem-ordem-para-subnotificar-covid-19/…,0
37,Covid-19 no Mundo. 46 mil óbitos e 926 mil casos confirmados.,0
38,"Publiquei na ⁦
@CNNBrasil
 ⁩ OAB pede, e STF cobra informações da Presidência sobre medidas contra COVID-19 | CNN Brasil",0
39,"Já começamos a montagem do Hospital Solidário, que funcionará no estacionamento do Hospital Metropolitano e comportará até 200 leitos de enfermaria para possíveis casos do Covid-19.",0
40,"CHEGOU A HORA DE CORTAR O FUNDO PARTIDÁRIO E O FUNDÃO ELEITORAL

Com o PL 646/20, de autoria do 
@novonacamara
, fica autorizado realocar os recursos dos Fundo Partidário e do Fundo Eleitoral para o combate ao COVID-19!",0
41,"O #GovernoDoMaranhão informa 71 casos confirmados com o novo coronavírus (COVID-19), sendo 12 recuperados e  um óbito. 
 https://bit.ly/2WZfvNJ
#GovernoDeTodosNós",0
42,"O governador Wilson Lima visitou, nesta quarta-feira (01/04), as instalações de um hospital particular onde o Governo do Estado prevê ampliar a quantidade de leitos para pacientes graves de Covid-19 no AM.

O local conta com estrutura de 400 leitos clínicos. Confira no vídeo.",0
43,"Ontem, antes da paralisação total dos serviços da Rádio Colorada (dia 21 estaremos de volta!), entrevistamos 
@medeirosinter
. O nosso presidente falou sobre a recuperação da COVID-19. Quem não conseguiu acompanhar, pode escutar agora na íntegra por aqui:",0
44,"CRIMINOSOS!!! 

A Secretaria de Saúde do 
@brunocovas
, de forma dolosa e sorrateira, determinou a omissão de casos de Covid-19 para o Ministério da Saúde. 
Uma falcatrua que coloca em risco a saúde do Brasil.",0
45,Covid-19: Estados Unidos concluem que China falseou dados sobre severidade do vírus - https://lusa.pt/article/BCfSms6Rs7Thl5N~rDINWTMSZM5iuSI1…,0
46,"O governador Wilson Lima visitou, nesta quarta-feira (01/04), as instalações de um hospital particular onde o Governo do Estado prevê ampliar a quantidade de leitos para pacientes graves de Covid-19 no AM.

O local conta com estrutura de 400 leitos clínicos. Confira no vídeo.",0
47,"Juntos com nossos amigos das 
@zerozoneclub
 organizaremos um campeonato beneficente na luta contra o Covid-19 e estaremos com nossa equipe competitiva representando a 
@QLASH_Spain
 .
Todos juntos contra a pandemia.
#ForzaQLASH",0
48,eu queria mesmo era um teste pra ver se meu sistema imunológico tá preparado      tipo um teste de proficiência covid-19,0
49,"Conheça a campanha dos alunos da UFG para arrecadar recursos para auxílio de pacientes da COVID-19. O novo Hospital das Clínicas é de extrema importância, para suprir o provável déficit de leitos. Doe e compartilhe! http://vaka.me/974516 #juntospelohcufg
#todoscontraocovid19",0
50,"Newtflix tbm está na luta contra o covid-19 e por isso abasteceu o seu drive com ótimos filmes pra tu te aquietar em casa. Pode dá-lhe:

https://drive.google.com/drive/u/1/folders/1Xu2eV3C58MTcq8ryUPL08gg3U4sSLzgc…

#FicaEmCasa
 #UnidosContraElVirus",0
51,"Há quem diga que R$2-3 bilhões é pouco para destinar para o combate ao COVID-19. Concordo. 

Por mim, além do fundão, a gente corta os privilégios e supersalários pagos com o dinheiro do pagador de impostos também.

Bora cortar na própria carne e dar o exemplo? #FundãoParaASaúde",0
52,Alimentos mal higienizados podem ser transmissores da Covid-19 #msnbrasil http://msn.com/pt-br/saude/nutricao/alimentos-n%C3%A3o-higienizados-podem-ser-transmissores-do-coronav%C3%ADrus/ar-BB125d1h?ocid=ob-tw-ptbr-579…,0
53,"Jair Bolsonaro disse que vai convocar a população para um dia de jejum e de oração para enfrentar o Covid-19.

MAS NÃO É POSSÍVEL QUE ESSA SEJA A ESTRATÉGIA PARA ENFRENTAR A PANDEMIA.",0
54,"Com o COVID-19, acabaram proibições como:

- Restrição de venda do álcool 70%
- Telemedicina
- Casamento por videoconferência
- Exigência de licenças para hospitais adicionarem novos leitos e equipamentos

Por que precisou de uma doença para começarem a desburocratizar o Brasil?",0
55,"Governo convoca veterinários, dentistas, psicólogos e outros profissionais de saúde para ajudar no combate à covid-19 junto ao SUS. Cadastramento é obrigatório, e profissionais passarão por treinamento por meio de cursos a distância. https://p.dw.com/p/3aKvk",0
56,"O CORONAVÍRUS ESTÁ NO BRASIL DESDE JANEIRO, e não fevereiro como muitos de nós tivemos conhecimento. Segundo informação divulgada hoje, o Ministério da Saúde descobriu um caso de Covid-19 de 23 de janeiro em investigação retroativa de casos de síndrome respiratória aguda grave.",0
57,"Médico de 43 anos morre com Covid-19 no Ceará, diz sindicato https://polemicaparaiba.com.br/brasil/medico-de-43-anos-morre-com-covid-19-no-ceara-diz-sindicato/…",0
58,"Sobre o Beta Fechado no Brasil: Teremos!
E com servidores locais!

Em breve vamos confirmar datas, mas nosso plano é trazer VALORANT para vocês o quanto antes. Entretanto, também precisamos estar seguros sobre o COVID-19, enquanto preparamos a infraestrutura no Brasil!",0
59,"Tá claro que Bolsonaro ameaçou escalar irresponsabilidade e tentar ""reabrir"" economia a partir da semana q vem. Vai dar problema. Agravará situação, porque onda do covid-19 está crescendo no país. ""O Brasil não vai mais aguentar isso daí."" Se não for impedido, vai piorar tragédia",0
60,"DRAUZIO VARELLA: ""ESQUECE A VIDA NORMAL, ELA NÃO VAI EXISTIR POR MUITO TEMPO""

Médico participou do#UOLDebate nesta quinta-feira (2) sobre perspectivas a curto e médio prazo em relação à situação dos hospitais, prevenção, tratamentos, vacinas contra a covid-19.",0
61,"Potencial vacina contra covid-19 mostra resultados promissores em ratos 

Testes iniciais feitos por cientistas em ratos de laboratório nos Estados Unidos mostraram que uma possível vacina pode ter resultado contra covid-19.",0
62,"Há 201 exames de mortes suspeitas por Covid-19  no Instituto Adolph Lutz, em São Paulo. O Jornal Nacional divulgou com muita tristeza que o instituto só conseguiu processar hoje 93 deles e só 20 testaram positivo.
A Globo torce pelo aumento do número de mortos?",0
63,"Ministério da Saúde diz que coronavírus já estava no Brasil em janeiro. Segundo secretário de Vigilância em Saúde, investigação apontou que primeiro caso de covid-19 é, na verdade, de 23 de janeiro – e não de 26 de fevereiro, como se tinha notícia. https://p.dw.com/p/3aKvk",0
64,A prova de que tinha razão quando disse hoje no Parlamento que com este Estado de Emergência voltaríamos a uma cultura de impunidade. Armando Vara vai pedir para sair da cadeia por causa do Covid-19,0
65,"Olha eles a saltar cá para fora 
 Covid-19: defesa de Armando Vara vai pedir libertação por razões humanitárias | TVI24",0
66,"O projeto de COVID-19 que eu tô trabalhando acabou de ser divulgado, o site tá online e saiu artigo no Lancet sobre a iniciativa ",0
67,"O ministro 
@lhmandetta
 do 
@minsaude
 fala sobre o cadastro de médicos que poderão auxiliar numa força-tarefa contra a #Covid-19",0
68,"DRAUZIO VARELLA: ""ESQUECE A VIDA NORMAL, ELA NÃO VAI EXISTIR POR MUITO TEMPO""  | 

Médico participou do#UOLDebate nesta quinta-feira (2) sobre perspectivas a curto e médio prazo em relação à situação dos hospitais, prevenção, tratamentos, vacinas contra a covid-19.",0
69,"Com Covid-19, médico deixa quarentena para sepultar a mãe, vítima do coronavírus",0
70,"Will Carroll, baterista do Death Angel, se manifestou pela primeira vez desde sua internação na UTI de um hospital na Califórnia. O músico revelou ter ficado 12 dias em coma e ter litros de líquido drenado dos pulmões. Ele segue em recuperação do Covid-19.",0
71,"#coronavírus Santa Maria tem mais 15 casos suspeitos da doença

Conforme o último boletim da prefeitura, o número de casos confirmados segue sendo oito pacientes. Há três dias não há novo caso de Covid-19 na cidade

Leia mais: https://bit.ly/2x0oBzb",0
72,"O PL 663/2020 propõe que os R$2 bilhões do Fundão Eleitoral e aproximadamente R$1 bilhão do Fundo Partidário sejam utilizados no combate da pandemia do covid-19. 
 #FundãoParaASaúde",0
73,Governo garante a MPF que não irá remover quilombolas do território de Alcântara durante pandemia da covid-19,0
74,eu tô em casa pra evitar o covid-19 e tô descobrindo que eu sou um grande inútil e insuficiente,0
75,"Ontem fui dormir e eram 242 mortos no Brasil pela covid-19. Agora são 20:15h e já são 324, basicamente um morto a cada 10 minutos por causa de uma gripezinha...",0
76,Brasil registrou morte por COVID-19 em Janeiro. Isso significa que tem gente andando por aí imune e teve gente que morreu disso e a família nunca vai saber.,0
77,"Enquanto isso,  
@jairbolsonaro
  fala que o Ministro da Saúde  está  extrapolando e a Covid-19 num é isso tudo. 

Eu não tenho mais adjetivos  para o Jair.",0
78,"Perguntas que vieram à minha cabeça após a investigação revelarque a primeira pessoa vítima do covid-19 era do estado de MG: 

- Quanto tempo Minas Gerais demorou pra ter mortes confirmadas? 
- E os 20 óbitos colocados como casos de pneumonia enterrados em MG? 
- E o carnaval?",0
79,"Enquanto o Brasil esperava a sanção presidencial, os óbitos por covid-19 cresceram 88% no país. https://buff.ly/2UUmDbC",0
80,"O #GovernoDoMaranhão informa 81 casos confirmados com o novo coronavírus (COVID-19), sendo 12 recuperados e  um óbito. 
 https://bit.ly/2xMY8oJ  
#GovernoDeTodosNós",0
81,"Ministério da Saúde e MPF discutem parcerias para combater covid-19 https://agoranoticiasbrasil.com.br/ministerio-da-saude-e-mpf-discutem-parcerias-para-combater-covid-19/… via 
@AgoraNoticiasBr",0
82,Coronavírus | Como está o desenvolvimento da vacina contra a COVID-19? http://canalte.ch/T7G4D,0
83,"5,224 casos confirmados de covid-19 na Australia, 23 obitos. Mais de 270,000 pessoas testadas. 248 novos casos detectados ontem. Objetivo é manter o número de novos caso diários abaixo de 100 para desafogar o sistema de saúde.",0
84,"50 bairros de Fortaleza tiveram confirmações da Covid-19. Todas as Regionais possuem casos registrados. concentração maior visível no mapa de calor abrange Meireles, Aldeota, Mucuripe, Cocó e Guararapes.",0
85,"Está inaugurada a plataforma de espacialização dos dados de Covid-19 no Estado do Pará. A plataforma é uma iniciativa voluntária da 
@SolvedGeo
, que faz uso das informações oficiais fornecidas pela @sespapar
http://solved.eco.br/covid19/pa.html
@helderbarbalho
 @EdmilsonPSOL
 @randolfeap",0
